target,scenario,pid,iteration,margin,word_count,predicted_class
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,19,0.24766388535499573,145,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,20,0.03885325789451599,147,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,0,2.6697003841400146,149,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,1,3.680673837661743,162,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,2,1.9095780849456787,133,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,3,2.7126739025115967,147,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,4,3.3975679874420166,135,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,5,1.578014612197876,139,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,6,2.033447504043579,139,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,7,2.498248815536499,144,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,8,1.0751497745513916,126,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,9,1.0112740993499756,126,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,10,1.4067010879516602,129,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,11,0.6752678155899048,130,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,12,0.771781325340271,132,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,13,1.2683587074279785,136,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,14,0.6752678155899048,130,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,15,1.7045786380767822,140,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,16,0.7289706468582153,132,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,17,0.4440934956073761,134,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,18,1.1663837432861328,138,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,19,0.46834298968315125,135,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,20,0.6006292104721069,137,AI
